,Row.names,baseMean,log2FoldChange,lfcSE,pvalue,padj,significant
2154,ENSG00000100312,0.072611265,-3.98E-06,0.128691658,0.902205153,NA,unchanged
2155,ENSG00000100314,0.092141846,7.14E-05,0.128690377,0.953759013,NA,unchanged
2156,ENSG00000100316,14510.87535,0.10800284,0.079103334,0.089739192,0.245739182,unchanged
2157,ENSG00000100319,27.26633951,-0.025234105,0.120816644,0.590442078,0.759481897,unchanged
2158,ENSG00000100320,6.659565818,-0.035823868,0.122832051,0.466120111,0.66428835,unchanged
2159,ENSG00000100321,42.7715903,-0.223688407,0.192839807,0.023434831,0.107651986,unchanged
2160,ENSG00000100324,98.21995896,-0.399236902,0.154565597,0.000671841,0.011312597,downregulated
2161,ENSG00000100325,1446.945941,0.094018833,0.14294262,0.167866936,0.360503686,unchanged
2162,ENSG00000100330,2583.713618,-0.094702448,0.094412077,0.168631257,0.361696146,unchanged
2163,ENSG00000100335,286.9604136,-0.141722321,0.08291637,0.034141861,0.136105272,unchanged
2164,ENSG00000100336,18.30594968,0.044535843,0.128384844,0.34867157,0.559569822,unchanged
2165,ENSG00000100342,264.382432,-0.079483814,0.119754246,0.24144902,0.449663064,unchanged
2166,ENSG00000100344,0.182173573,0.000538306,0.12868176,0.914492872,NA,unchanged
2167,ENSG00000100345,3134.928174,-0.730678988,0.17809547,1.43E-06,0.000268886,downregulated
2168,ENSG00000100346,36.37949969,-0.110568736,0.140355413,0.125036554,0.301296701,unchanged
2169,ENSG00000100347,171.0543723,-0.000708568,0.071314352,0.977494243,0.989210761,unchanged
2170,ENSG00000100348,98.89156658,0.026175,0.108549529,0.674648475,0.817499184,unchanged
2171,ENSG00000100350,6.304797808,-0.345295951,0.51406447,0.011381976,0.068375836,unchanged
2172,ENSG00000100351,924.6593263,0.030230476,0.089616216,0.645972297,0.797796249,unchanged
2173,ENSG00000100353,1211.683181,0.021177539,0.060193834,0.692113217,0.828823242,unchanged
2174,ENSG00000100354,2534.708204,-0.019397507,0.080519111,0.751012673,0.867749095,unchanged
